Filename,Duration,FileSize,NumberAlerts,NumberContext,UniqueContext,Backend,attackPath,sameSource,sameTarget,sameClass
path_2016-07-01_11:30:14_2000.xml,30.940341234207153,793627,2000,2883,883,psql,3,489,389,2
path_2016-07-01_11:30:14_2000.xml,32.1260986328125,793627,2000,2883,883,psql,3,489,389,2
path_2016-07-01_11:30:14_2000.xml,32.38696551322937,793627,2000,2883,883,psql,3,489,389,2
path_2016-07-01_11:30:14_2000.xml,30.82489538192749,793627,2000,2883,883,psql,3,489,389,2
path_2016-07-01_11:30:14_2000.xml,33.80162572860718,793627,2000,2883,883,psql,3,489,389,2
path_2016-07-01_11:30:14_1000.xml,10.541251420974731,396214,1000,1378,379,psql,3,260,114,2
path_2016-07-01_11:30:14_1000.xml,11.923657417297363,396214,1000,1378,379,psql,3,260,114,2
path_2016-07-01_11:30:14_1000.xml,12.110873937606812,396214,1000,1378,379,psql,3,260,114,2
path_2016-07-01_11:30:14_1000.xml,11.84295916557312,396214,1000,1378,379,psql,3,260,114,2
path_2016-07-01_11:30:14_1000.xml,12.323113203048706,396214,1000,1378,379,psql,3,260,114,2
path_2016-07-01_11:30:14_4000.xml,125.60184502601624,1588258,4000,5901,1965,psql,3,985,975,2
path_2016-07-01_11:30:14_4000.xml,132.8287491798401,1588258,4000,5901,1965,psql,3,985,975,2
path_2016-07-01_11:30:14_4000.xml,130.78725600242615,1588258,4000,5901,1965,psql,3,985,975,2
path_2016-07-01_11:30:14_4000.xml,128.54567503929138,1588258,4000,5901,1965,psql,3,985,975,2
path_2016-07-01_11:30:14_4000.xml,131.6721589565277,1588258,4000,5901,1965,psql,3,985,975,2
path_2016-07-01_11:30:14_5000.xml,114.11351680755615,1986565,5000,5797,1939,psql,3,963,971,2
path_2016-07-01_11:30:14_5000.xml,122.50344657897949,1986565,5000,5797,1939,psql,3,963,971,2
path_2016-07-01_11:30:14_5000.xml,109.10261821746826,1986565,5000,5797,1939,psql,3,963,971,2
path_2016-07-01_11:30:14_5000.xml,126.56255269050598,1986565,5000,5797,1939,psql,3,963,971,2
path_2016-07-01_11:30:14_5000.xml,111.26280498504639,1986565,5000,5797,1939,psql,3,963,971,2
path_2016-07-01_11:30:14_2500.xml,49.788522243499756,991952,2500,3727,1228,psql,3,634,589,2
path_2016-07-01_11:30:14_2500.xml,48.98053026199341,991952,2500,3727,1228,psql,3,634,589,2
path_2016-07-01_11:30:14_2500.xml,46.40160918235779,991952,2500,3727,1228,psql,3,634,589,2
path_2016-07-01_11:30:14_2500.xml,48.0144100189209,991952,2500,3727,1228,psql,3,634,589,2
path_2016-07-01_11:30:14_2500.xml,48.67422866821289,991952,2500,3727,1228,psql,3,634,589,2
path_2016-07-01_11:30:14_4500.xml,120.25413060188293,1786880,4500,5894,1978,psql,3,990,983,2
path_2016-07-01_11:30:14_4500.xml,120.37023830413818,1786880,4500,5894,1978,psql,3,990,983,2
path_2016-07-01_11:30:14_4500.xml,126.80794930458069,1786880,4500,5894,1978,psql,3,990,983,2
path_2016-07-01_11:30:14_4500.xml,123.01180529594421,1786880,4500,5894,1978,psql,3,990,983,2
path_2016-07-01_11:30:14_4500.xml,119.68913197517395,1786880,4500,5894,1978,psql,3,990,983,2
path_2016-07-01_11:30:14_3500.xml,104.19026708602905,1389508,3500,5271,1773,psql,3,844,924,2
path_2016-07-01_11:30:14_3500.xml,100.35110759735107,1389508,3500,5271,1773,psql,3,844,924,2
path_2016-07-01_11:30:14_3500.xml,104.02711033821106,1389508,3500,5271,1773,psql,3,844,924,2
path_2016-07-01_11:30:14_3500.xml,104.52064800262451,1389508,3500,5271,1773,psql,3,844,924,2
path_2016-07-01_11:30:14_3500.xml,100.88436150550842,1389508,3500,5271,1773,psql,3,844,924,2
path_2016-07-01_11:30:14_3000.xml,79.35232830047607,1190689,3000,4516,1516,psql,3,745,766,2
path_2016-07-01_11:30:14_3000.xml,106.45458960533142,1190689,3000,4516,1516,psql,3,745,766,2
path_2016-07-01_11:30:14_3000.xml,71.15802001953125,1190689,3000,4516,1516,psql,3,745,766,2
path_2016-07-01_11:30:14_3000.xml,76.54643607139587,1190689,3000,4516,1516,psql,3,745,766,2
path_2016-07-01_11:30:14_3000.xml,74.90134358406067,1190689,3000,4516,1516,psql,3,745,766,2
path_2016-07-01_11:30:14_1500.xml,19.998459100723267,594863,1500,2124,626,psql,3,372,249,2
path_2016-07-01_11:30:14_1500.xml,24.285567045211792,594863,1500,2124,626,psql,3,372,249,2
path_2016-07-01_11:30:14_1500.xml,23.22704839706421,594863,1500,2124,626,psql,3,372,249,2
path_2016-07-01_11:30:14_1500.xml,23.880125284194946,594863,1500,2124,626,psql,3,372,249,2
path_2016-07-01_11:30:14_1500.xml,22.66881012916565,594863,1500,2124,626,psql,3,372,249,2
path_2016-07-01_11:30:14_2000.xml,1618.9982740879059,793627,2000,2883,883,orient,3,489,389,2
path_2016-07-01_11:30:14_2000.xml,1619.7320568561554,793627,2000,2883,883,orient,3,489,389,2
path_2016-07-01_11:30:14_2000.xml,1693.4203312397003,793627,2000,2883,883,orient,3,489,389,2
path_2016-07-01_11:30:14_2000.xml,1635.5663533210754,793627,2000,2883,883,orient,3,489,389,2
path_2016-07-01_11:30:14_2000.xml,1653.43470621109,793627,2000,2883,883,orient,3,489,389,2
path_2016-07-01_11:30:14_3000.xml,4798.104785680771,1190689,3000,4516,1516,orient,3,745,766,2
path_2016-07-01_11:30:14_3000.xml,4905.45089673996,1190689,3000,4516,1516,orient,3,745,766,2
path_2016-07-01_11:30:14_3000.xml,4878.888226032257,1190689,3000,4516,1516,orient,3,745,766,2
path_2016-07-01_11:30:14_3000.xml,4906.457207918167,1190689,3000,4516,1516,orient,3,745,766,2
